84.00	4.39

82.00	4.38

-83.00	4.34

89.00	4.36

87.00	4.37

87.00	4.39

89.00	4.40

92.00	4.44

92.00	4.47

95.00	4.52

97.00	4.58

90.00	4.61

95.00	4.66

102.00	4.74

104.00	4.82

100.00	4.89

98.00	4.95

101.00	5.03

96.00	5.08

98.00	5.14

98.00	5.19

99.00	5.26

99.00	5.32

96.00	5.37

98.00	5.43

98.00	5.49

99.00	5.55

101.00	5.62

101.00	5.69

102.00	5.76

102.00	5.84

107.00	5.94

108.00	6.04

109.00	6.15

107.00	6.24

108.00	6.34

107.00	6.44

100.00	6.50

107.00	6.59

101.00	6.66

104.00	6.74

105.00	6.82

111.00	6.94

107.00	7.03

95.00	7.06

103.00	7.13

91.00	7.15

102.00	7.22

105.00	7.30

101.00	7.36

111.00	7.47

104.00	7.54

90.00	7.55

96.00	7.59

106.00	7.67

104.00	7.75

98.00	7.79

98.00	7.83

106.00	7.92

97.00	7.95

87.00	7.94

104.00	8.01

83.00	7.99

104.00	8.05

114.00	8.17

92.00	8.19

95.00	8.21

102.00	8.28

85.00	8.26

96.00	8.29

94.00	8.32

89.00	8.32

89.00	8.32

84.00	8.29

94.00	8.31

90.00	8.32

87.00	8.31

80.00	8.27

83.00	8.24

85.00	8.22

92.00	8.23

-86.00	8.16

-80.00	8.11

-84.00	8.04

-104.00	7.89

-87.00	7.80

-105.00	7.64

-108.00	7.46

-110.00	7.28

-111.00	7.09

-122.00	6.86

-131.00	6.58

-148.00	6.22

-133.00	5.94

-134.00	5.65

-164.00	5.22

-150.00	4.86

-167.00	4.42

-156.00	4.04

-154.00	3.67

-165.00	3.25

-156.00	2.87

-142.00	2.56

-200.00	1.96

-185.00	1.46

-190.00	0.93

-151.00	0.59

-176.00	0.14

-185.00	-0.35

-153.00	-0.70

-177.00	-1.15

-198.00	-1.70

-189.00	-2.20

-177.00	-2.65

-182.00	-3.11

